producto,sigma_choque,dias,media,desv,cv,min,max,pct_ceros,vol_log_diaria,vol_log_anual,ratio_findesemana,total
Anka Chida,0.29579653994194227,730,33.23698630136986,18.60011788774922,0.559621071510404,0.0,110.0,1.7808219178082192,0.6018427313323512,9.553957172863575,1.820463423640533,24263.0
Killa Negra,0.3303292471542804,730,27.22876712328767,18.407815340319523,0.6760429239036702,0.0,164.0,3.1506849315068495,0.6784266414828941,10.769689056987085,1.8738422998639062,19877.0
Inti IPA,0.3125150160449783,730,32.102739726027394,21.680345701906493,0.6753425373326964,0.0,230.0,2.8767123287671232,0.6404447093642546,10.166744576789144,1.8508869319791206,23435.0
Cusqueña Dorada (Weizen),0.2852535000738598,730,55.42739726027397,38.644297317244025,0.6972057002023662,0.0,475.0,3.0136986301369864,0.6277136791108967,9.964645736884997,1.8749039043936078,40462.0
Pachamamita Oscura,0.3412404624154474,730,18.31917808219178,12.47587433490501,0.6810280613535226,0.0,141.0,5.205479452054795,0.7320510221888712,11.620949710334278,1.8276638986013987,13373.0
Qorikancha Pale Ale — Botella 620ml,0.25843802759530304,730,102.35753424657534,63.79412180978513,0.6232479345986155,0.0,1061.0,2.6027397260273974,0.4971314271327306,7.8917167506469985,1.747651917048469,74721.0
Wayra Brown Ale — Lata 355ml,0.26239300100196644,730,34.74520547945205,20.36067281699006,0.5859994936288734,0.0,167.0,3.287671232876712,0.5785403379537057,9.18404314586861,1.8084759959610797,25364.0
Apu Dorado Saison — Growler 1L,0.27975852883028524,730,22.294520547945204,13.821448394760582,0.6199482229293534,0.0,88.0,3.287671232876712,0.6303925989165224,10.007172270412823,1.8935871691895787,16275.0
Tawantinsuyo Cream Ale — Barril 20L,0.2922741553560269,730,51.92328767123288,31.517851086906663,0.6070080016209862,0.0,309.0,2.328767123287671,0.5825627392435759,9.247896786786422,1.771272242215225,37904.0
Amaru Pale Ale — Edición Limitada,0.3304677348436017,730,12.823287671232876,9.434141154774194,0.7357037755565817,0.0,117.0,4.931506849315069,0.7625010762876836,12.104329333657802,1.9411519036519036,9361.0
Raymi Brown Ale — Botella 620ml,0.3061474649979668,730,21.934246575342467,15.378193234970007,0.7011042381668814,0.0,184.0,3.6986301369863015,0.6560176951000888,10.413958061355785,1.7121924490950227,16012.0
Chaska Saison — Lata 355ml,0.3123092321887219,730,39.320547945205476,22.25071929823387,0.5658801939698553,0.0,196.0,3.0136986301369864,0.6236186802297923,9.899639644934057,1.8352841488896448,28704.0
Wiraqocha Cream Ale — Growler 1L,0.3228631754224192,730,13.634246575342466,9.252422402958171,0.6786163321771792,0.0,118.0,4.52054794520548,0.7547106981384145,11.980660914445096,1.8737506761046965,9953.0
Puma Dorado Pale Ale — Barril 20L,0.3288177339001853,730,20.731506849315068,14.171811464846636,0.6835881042247948,0.0,107.0,4.383561643835616,0.7253869643122987,11.515161071150565,1.7980903069886962,15134.0
Inkari Brown Ale — Edición Limitada,0.37472509381710756,730,15.963013698630137,11.627317937704717,0.7283911520230364,0.0,92.0,4.931506849315069,0.7649185789663122,12.142705998946704,1.7543122335975778,11653.0
Sumaq Saison — Botella 620ml,0.34821622681927666,730,28.626027397260273,19.876981437525732,0.694367442666114,0.0,226.0,4.52054794520548,0.6540712078263345,10.383058533816751,1.789189892768522,20897.0
Ayni Cream Ale — Lata 355ml,0.35440213016101224,730,9.245205479452055,7.911073236438829,0.8556946899689354,0.0,112.0,7.260273972602739,0.8673255954072141,13.768366987011081,1.5671304320423536,6749.0
Kuntur Pale Ale — Growler 1L,0.25802451669532944,730,37.50410958904109,23.77325790316624,0.6338840773362319,0.0,225.0,4.52054794520548,0.5708977975191835,9.062721577621602,1.9166681179359468,27378.0
Wari Brown Ale — Barril 20L,0.26682072528001327,730,24.73972602739726,14.215395279014848,0.5745979265604008,0.0,139.0,3.5616438356164384,0.600412484106282,9.53125270202246,1.8353436408265043,18060.0
Yawar Saison — Edición Limitada,0.31711602816803136,730,19.63013698630137,12.852169849649842,0.654716258914472,0.0,102.0,4.52054794520548,0.7131744475574264,11.321293377856957,1.7005006357279084,14330.0
Chullpa Cream Ale — Botella 620ml,0.28488819243446734,730,69.15205479452055,38.73584800201686,0.5601546926858086,0.0,329.0,2.73972602739726,0.5774828502573972,9.167256049114952,1.833584093408223,50481.0
Munay Pale Ale — Lata 355ml,0.3009020749197168,730,47.79178082191781,25.643294690466316,0.5365628618447721,0.0,170.0,2.4657534246575343,0.5974179701974733,9.48371626742107,1.698141919339638,34888.0
Sonqo Brown Ale — Growler 1L,0.3107457983192913,730,23.30958904109589,16.422254899845406,0.7045278606539226,0.0,236.0,3.287671232876712,0.676267874786634,10.735419698085607,1.8723761825656042,17016.0
Tinkuy Saison — Barril 20L,0.30885340651818183,730,34.50547945205479,21.258825019470898,0.6160999747593694,0.0,165.0,3.8356164383561646,0.6403526531807654,10.165283230180195,1.740573330665551,25189.0
Ch'aska Cream Ale — Edición Limitada,0.3651318446920524,730,7.976712328767123,5.779818941752159,0.7245866095619227,0.0,38.0,6.575342465753424,0.8932629653253712,14.18010996981027,1.7376586812049826,5823.0
Qorikancha Pale Ale — Botella 620ml,0.3284684427864866,730,39.96849315068493,24.188480087890635,0.6051886919203538,0.0,219.0,3.9726027397260277,0.6365950951603566,10.105633845826809,1.9274524862783649,29177.0
Wayra Brown Ale — Lata 355ml,0.33245485263936814,730,26.245205479452054,21.030346899449917,0.8013024289680276,0.0,384.0,3.8356164383561646,0.6303852957845212,10.00705633678642,1.6399677626229658,19159.0
Apu Dorado Saison — Growler 1L,0.3574206258736698,730,13.598630136986301,10.854163939972718,0.7981806866304104,0.0,189.0,5.068493150684931,0.7344669257456091,11.659300990350149,1.867143777075284,9927.0
Tawantinsuyo Cream Ale — Barril 20L,0.3451390917052627,730,33.07945205479452,20.261150888244096,0.6124995920332197,0.0,149.0,3.8356164383561646,0.6689754463475001,10.619655985463508,1.791990829794123,24148.0
Amaru Pale Ale — Edición Limitada,0.29895792068730276,730,24.01095890410959,16.04334506885366,0.6681676118361006,0.0,170.0,4.2465753424657535,0.6276360510413752,9.963413429484724,1.6410166244478674,17528.0
Raymi Brown Ale — Botella 620ml,0.26220503553856045,730,37.152054794520545,21.662609726470656,0.5830797205237115,0.0,184.0,3.1506849315068495,0.546717499426789,8.67887124534229,1.7609685903788976,27121.0
Chaska Saison — Lata 355ml,0.27835012868827236,730,47.03972602739726,27.33685975555353,0.5811441108230897,0.0,375.0,2.73972602739726,0.543320795881773,8.624950248197147,1.6796016193648506,34339.0
Wiraqocha Cream Ale — Growler 1L,0.29097547377170807,730,72.48630136986301,38.58249235672991,0.5322728795315663,0.0,282.0,2.8767123287671232,0.5832930207174242,9.259489645787703,1.8004476900331559,52915.0
Puma Dorado Pale Ale — Barril 20L,0.30378947948220314,730,21.052054794520547,14.484664631134876,0.6880404204013834,0.0,160.0,3.9726027397260277,0.6819920222109878,10.826287721401874,1.747000344744889,15368.0
Inkari Brown Ale — Edición Limitada,0.3410778185759207,730,46.62328767123287,32.8037628168575,0.7035917983342435,0.0,367.0,2.73972602739726,0.6579584820019792,10.444767098296825,1.9339508110936685,34035.0
Sumaq Saison — Botella 620ml,0.3167920439510544,730,14.805479452054794,10.106581206037742,0.6826243782760504,0.0,69.0,5.342465753424658,0.7506591152697007,11.916344030324378,1.8009596365770428,10808.0
Ayni Cream Ale — Lata 355ml,0.3195742666250078,730,20.839726027397262,13.604101312754134,0.6527965528370813,0.0,148.0,5.068493150684931,0.6816165500156649,10.82032728508361,1.779591751985745,15213.0
Kuntur Pale Ale — Growler 1L,0.33673529986712364,730,17.75068493150685,11.08699254263562,0.624595196490508,0.0,69.0,4.2465753424657535,0.6915549264541877,10.978094120036062,1.7984860418307518,12958.0
Wari Brown Ale — Barril 20L,0.34890456191505353,730,31.43013698630137,24.617928008532513,0.7832586927400947,0.0,331.0,4.10958904109589,0.7326468145300925,11.63040762054173,1.983655326893462,22944.0
Yawar Saison — Edición Limitada,0.3991971205527126,730,13.876712328767123,9.774085397396597,0.7043516623987676,0.0,70.0,6.301369863013699,0.8576023338715592,13.614014995276383,1.8441022635043738,10130.0
Chullpa Cream Ale — Botella 620ml,0.35677093650004277,730,18.216438356164385,12.723067323142393,0.6984387987587567,0.0,92.0,4.52054794520548,0.7439932383339743,11.81052651447182,1.6259412933495851,13298.0
Munay Pale Ale — Lata 355ml,0.25925846519622087,730,67.36575342465754,38.954827084707674,0.5782586121934359,0.0,332.0,2.6027397260273974,0.5406110094059665,8.581933721470726,1.818485930694399,49177.0
